range,tokenizer,field,count,mean,std,min,p50,p95,p99,max,ratio_mean,ratio_std
range_0_1k,gpt4,input,500,815.642,180.35717689772434,146,864.0,1013.05,1022.01,1024,,
range_0_1k,gpt4,target,500,281.914,220.2847824402528,50,210.0,705.099999999999,1230.2099999999998,1466,,
range_0_1k,biomistral_7b,input,500,954.012,213.10214664759158,177,1007.5,1186.1499999999999,1210.04,1241,1.1692309450142893,0.02466995497752672
range_0_1k,biomistral_7b,target,500,323.024,256.30237853458357,56,241.5,823.5999999999995,1400.3299999999997,1622,1.1380378282041015,0.04112546914966769
range_0_1k,qwen3_5,input,500,839.462,190.0009507306664,146,890.5,1050.0,1076.04,1117,1.0276849478457066,0.022036758421619253
range_0_1k,qwen3_5,target,500,285.148,225.24873380367828,50,210.0,727.05,1256.2699999999998,1462,1.0069373303165927,0.014053071160297196
range_1k_2k,gpt4,input,500,1612.246,283.9668781032736,1027,1619.0,2024.05,2040.01,2044,,
range_1k_2k,gpt4,target,500,385.73,269.4380277570395,51,320.0,860.8499999999992,1444.4899999999986,1944,,
range_1k_2k,biomistral_7b,input,500,1883.362,334.67933828509626,1161,1886.0,2366.05,2399.0299999999997,2436,1.1679694336259168,0.019445235086938257
range_1k_2k,biomistral_7b,target,500,440.774,312.5050170723517,54,361.5,977.3499999999988,1729.6799999999985,2305,1.1390308377243608,0.03421003649826705
range_1k_2k,qwen3_5,input,500,1669.314,298.00533848831475,1039,1672.5,2089.05,2136.01,2162,1.035011266553874,0.0161940926836007
range_1k_2k,qwen3_5,target,500,387.926,273.72758374743387,51,319.0,852.3999999999987,1511.3199999999988,2020,1.0034771581017436,0.01196834079296344
range_2k_4k,gpt4,input,500,2760.404,492.2610757691845,2054,2678.0,3663.05,3930.3599999999997,4087,,
range_2k_4k,gpt4,target,500,692.802,370.27990657667186,58,609.0,1404.7999999999993,1686.3799999999997,1972,,
range_2k_4k,biomistral_7b,input,500,3244.428,588.4957972856268,2380,3149.5,4341.25,4649.18,4876,1.1748723896480917,0.0168805678041858
range_2k_4k,biomistral_7b,target,500,794.834,427.2161721652389,68,706.0,1621.2499999999998,1959.2499999999998,2259,1.1456672623297417,0.029527460089274746
range_2k_4k,qwen3_5,input,500,2877.892,520.7686783676006,2089,2790.5,3858.25,4124.1,4340,1.0422204116479734,0.014809386598753655
range_2k_4k,qwen3_5,target,500,696.876,374.7849625589595,57,610.0,1413.4999999999995,1724.2299999999998,1975,1.004538454371843,0.010623325738990299
